budget,method,r2,rmse,rpd,r2_std,prep
12,random,-1.196857963976785,0.02234280529566979,0.7095748619803629,0.9374956859815975,SG + SNV + 1st Der
14,greedy,-1.2375224890850798,0.018966046522873828,0.6685229108155255,,SG + SNV + 1st Der
14,random,-1.6584386081782512,0.0221245196591931,0.6732597122850392,1.7067766902153725,SG + SNV + 1st Der
16,greedy,-3.2278398614268715,0.01955330237691236,0.48634083427822716,,SG + SNV + 1st Der
16,random,-2.7769227817351285,0.02025350198674792,0.609092903023022,3.7975013397871593,SG + SNV + 1st Der
2,greedy,-2.657539194688444,0.030606648877923276,0.522884183944399,,SG + SNV + 2nd Der
2,random,-1.2275295250603533,0.02342757044662429,0.74205760518782,1.1225494028486613,SG + SNV + 2nd Der
4,greedy,-4.499141347685014,0.031457831569214556,0.42643472120692405,,SG + SNV + 2nd Der
4,random,-2.3031594385222136,0.0272483434376097,0.6204988839910188,1.8267486880191852,SG + SNV + 2nd Der
6,greedy,-3.0952794282534866,0.02891776335778167,0.4941493518967864,,SG + SNV + 2nd Der
6,random,-1.8055722439582977,0.025619861806262367,0.6834112017877224,2.245634105968473,SG + SNV + 2nd Der
8,greedy,-2.546059208981484,0.02370814203381924,0.5310397230913946,,SG + SNV + 2nd Der
8,random,-1.4487169700797318,0.02370563567270204,0.6884664035791305,1.132290755043972,SG + SNV + 2nd Der
10,greedy,-1.8523127539810562,0.021581306694177575,0.592108680565055,,SG + SNV + 2nd Der
10,random,-1.3024467319805733,0.023456328265482402,0.7088468488122571,1.5918247731474564,SG + SNV + 2nd Der
12,greedy,-2.0025487119566026,0.019592305408973,0.5771051754245545,,SG + SNV + 2nd Der
12,random,-1.2026661091405002,0.02245513628765271,0.7028298906763105,0.8078187344851075,SG + SNV + 2nd Der
14,greedy,-1.734955920098916,0.020968543869509908,0.6046789279712934,,SG + SNV + 2nd Der
14,random,-1.6415476797857196,0.021958799842287696,0.6798447803721431,1.9316408853349187,SG + SNV + 2nd Der
16,greedy,-3.535600029537127,0.020252480679341434,0.46955084374341594,,SG + SNV + 2nd Der
16,random,-2.8324437642527545,0.020466911106257923,0.602479630771295,3.7795131961794337,SG + SNV + 2nd Der
2,greedy,-2.6629410788566905,0.030629242288716763,0.5224984826902211,,SG + MSC + 1st Der
2,random,-1.3524158011032155,0.023980172662393526,0.7311497486631737,1.2592789759000964,SG + MSC + 1st Der
4,greedy,-1.6344407496588782,0.025016742301594754,0.6161064880829831,,SG + MSC + 1st Der
4,random,-2.621141694193473,0.028407555266527957,0.59982602046625,2.030907887264901,SG + MSC + 1st Der
6,greedy,-0.6568308507623393,0.021135826877830974,0.7768924728208548,,SG + MSC + 1st Der
6,random,-2.0426157301873036,0.02630473498750774,0.6757956319568418,2.7934253365190003,SG + MSC + 1st Der
8,greedy,-1.3681357795354496,0.022825552149737926,0.6498254261270484,,SG + MSC + 1st Der
8,random,-1.5229307546514517,0.023994825784188625,0.6813858700505635,1.2242932063498677,SG + MSC + 1st Der
10,greedy,-1.9342682780998945,0.021889158899877914,0.5837811809036912,,SG + MSC + 1st Der
10,random,-1.5688479165353415,0.024441982551728574,0.6857370124431685,2.2703012005854775,SG + MSC + 1st Der
12,greedy,-1.6642517081640178,0.023213557357885384,0.6126499093008801,,SG + MSC + 1st Der
12,random,-1.4241885517602455,0.023158099118114655,0.6861060833049021,1.2421777173263135,SG + MSC + 1st Der
14,greedy,-1.343773992300803,0.01941113689421023,0.653193921470727,,SG + MSC + 1st Der
14,random,-1.738898860097073,0.02240030319849779,0.6646849995422979,1.82567952790002,SG + MSC + 1st Der
16,greedy,-3.4199770922853663,0.019992672923138898,0.4756527267485039,,SG + MSC + 1st Der
16,random,-2.8377644982005688,0.02061944338441628,0.5984290168291836,3.4188979854594246,SG + MSC + 1st Der
2,greedy,-2.7047619848586626,0.030803597694946446,0.5195410218083453,,SG + MSC + 2nd Der
2,random,-1.2316182300638325,0.02344787544547735,0.7415424551586444,1.1241413181438977,SG + MSC + 2nd Der
4,greedy,-4.464631443698398,0.031358969289911366,0.42777909921000146,,SG + MSC + 2nd Der
4,random,-2.279496983382334,0.027170800526192404,0.6208730936307273,1.805817521451243,SG + MSC + 2nd Der
6,greedy,-3.0775142465808116,0.028854973055511424,0.4952246530974686,,SG + MSC + 2nd Der
6,random,-1.7869960876605613,0.025568188777325737,0.6852015540409567,2.1835548053979044,SG + MSC + 2nd Der
8,greedy,-2.5685370740752056,0.02378316426963285,0.52936459749076,,SG + MSC + 2nd Der
8,random,-1.4692886641750984,0.023827566035123822,0.6847436177266657,1.143428431342562,SG + MSC + 2nd Der
10,greedy,-1.9006511062151223,0.021763408401936434,0.5871543094519278,,SG + MSC + 2nd Der
10,random,-1.41036726967642,0.02386213535666935,0.6992847008143138,1.8659919414430133,SG + MSC + 2nd Der
12,greedy,-2.036148289899239,0.01970162283480126,0.5739030203158829,,SG + MSC + 2nd Der
12,random,-1.3794273299034916,0.023051849363735985,0.686675415109007,1.10207556671981,SG + MSC + 2nd Der
14,greedy,-1.041696283124712,0.018535376609568634,0.6998491362292962,,SG + MSC + 2nd Der
14,random,-1.7066602847176549,0.022180803787231376,0.6724529697021373,2.021680390733374,SG + MSC + 2nd Der
16,greedy,-3.5974129697097172,0.020390018045838534,0.46638356913189877,,SG + MSC + 2nd Der
16,random,-2.992153890056859,0.020899975162332995,0.5883968620341566,3.6935175213898734,SG + MSC + 2nd Der
